"bedrijf","bezichtingsduur_select","bookingLink","districtType_select","einddatum_date","eindtijd","eindtijd_time","eventType_select","id","image","kavelfunctie_select","kavelnummer_select","kennisprogramma","latlonlocatie_select","linkType_select","naam_de","naam_en","naam_nl","omschrijvingKort_de","omschrijvingKort_en","omschrijvingKort_nl","omschrijving_de","omschrijving_en","omschrijving_nl","opmerkingen","publiceerbaar","recordType_select","sdgType","semCode","startdatum_date","starttijd_time","tags","themaFloriade","zakelijk"
"[{""created"":""Mon Mar 07 2022 23:01:45 GMT+0100 (Midden-Europese standaardtijd)"",""bedrijf"":""Next Nature"",""bedrijfType_select"":""subdeelnemer"",""bedrijfIndeling_select"":null}]","01:00",,"urban-district",,,,,"Ljw2Cmol38eD0MAPo3kE","dutch-innovation-experience-1646690483709","nationaal","83",,"{""cluster"":""83"",""locatie"":""83"",""lon"":""52.35683396007751611"",""lat"":""5.22442123782136125""}",,,,"Dutch Innovation Experience",,"The Natural Pavilion and the indoor 'Nature Loves Technology' exhibition provide excellent examples of how we can design nature-inclusive living and working conditions. The building is equipped with the most sustainable innovations.","The Natural Pavilion en de binnententoonstelling 'Nature Loves Technology' toont hoe we natuurinclusief wonen, leven en werken kunnen vormgeven. Het gebouw is voorzien van de meest duurzame innovaties.",,,,,,"locatie",,,,,"[""Educatie"",""Architectuur"",""Innovatief""]","[{""themaFloriade_select"":""greening"",""themaFloriadeRating"":5}]",
"[{""bedrijf"":""Greenports Nederland"",""created"":""Thu Feb 03 2022 14:20:25 GMT+0100 (Central European Standard Time)"",""bedrijfIndeling_select"":null}]",,,"hortus-avenue","2022-10-06","07:00",,,"s452Nnj2j5oWJEjFI32U",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,,"Nationaal Tuinbouwcongres 2022",,,,,,,,,"event",,,"2022-10-06","21:00",,,
,"01:00","https://floriade.com/nl/op-de-expo/nationale-paviljoens/almeerse-kerken/","green-island",,,,,"lxR5sllZ8vlisZ3RRRJL","almeerse-kerken-1642418542961","nationaal","27",,"{""cluster"":""27/38"",""locatie"":""27/38"",""lon"":""52.35815498791399847"",""lat"":""5.22916147286923305""}","info","Fruitful City","Fruitful City","Fruitful City",,"Biblical inspiration for a sustainable society. Come for a walk, experience nature and Gods creation. Come and see the 12 works of art or experience the labyrinth. Search for your core values for the ideal world on a green and habitable earth.","Bijbelse inspiratie voor een duurzame samenleving. Ervaar de natuur en Gods schepping bij dit paviljoen. Bekijk de 12 kunstwerken en de duurzame Tiny Church of ontdek het labyrint. Ga op zoek naar jouw kernwaarden voor de ideale wereld!",,,,,,"locatie","[{""created"":""Wed Mar 09 2022 13:52:54 GMT+0100 (CET)"",""sdgType_select"":""sdg-3""},{""created"":""Wed Mar 09 2022 13:53:11 GMT+0100 (CET)"",""sdgType_select"":""sdg-7""},{""created"":""Wed Mar 09 2022 13:53:12 GMT+0100 (CET)"",""sdgType_select"":""sdg-16""}]",,,,"[""Architectuur"",""Tuin"",""Cultural discovery""]","[{""themaFloriade_select"":""healthying"",""themaFloriadeRating"":5}]",
,,"",,"2022-09-29","19:00",,"",,,,"",,,"","","","Perennial Power (50)",,"","",,"","Perennial Power (50)",,,"event",,"563","2022-09-29","09:00",,,"true"
,,"https://floriade2022.jp","urban-district",,,,,"NNBlZFZm8l0FdoQ9LKuS","japan-satoyama-farm-garden-1645695837390","internationaal","52",,"{""cluster"":""52"",""locatie"":""52"",""lon"":""52.35751359544306638"",""lat"":""5.22644075960580512""}","info","Japan - Satoyama Farm Garden","Japan - Satoyama Farm Garden","Japan - Satoyama Farm Garden","Erfüllendes Leben mit Blumen und Grün in der urbanen Zukunft","Fulfilling life with flowers and green in the urban future.","Het leven vervullen met bloemen en groen in de toekomst van de stad","Besucher können einen japanischen Garten genießen, der Satoyama darstellt, einen Garten mit Pflanzen und Bäumen, und einen Garten, der zur Internationalen Gartenbauausstellung führt, die 2027 in Yokohama, Japan, stattfinden wird. Im Pavillon können die Besucher alle zwei Wochen eine Vielzahl von Ausstellungen genießen frische Blumen aus Japan transportiert.","Visitors can enjoy a Japanese garden representing satoyama, a garden of plants and trees, and a garden leading to the International Horticultural Exposition to be held in Yokohama, Japan in 2027. In the pavilion, visitors can enjoy a variety of displays every fortnight, using fresh flowers transported from Japan.  ","Bezoekers treffen een Japanse tuin in de vorm van een satoyama, een tuin met planten en bomen, en een tuin die vooruitkijkt naar de wereldtuinbouwtentoonstelling in Yokohama, Japan in 2027. In het paviljoen worden elke twee weken nieuwe exposities gehouden, met verse bloemen die uit Japan worden geïmporteerd.  ",,,"locatie",,,,,,,
,,,"hortus-avenue","2022-10-08","07:00",,,"sjnzefxP1ZSUwMIhHDHo",,,"8",,"{""cluster"":""8"",""locatie"":""8"",""lon"":""52.3593777948012189"",""lat"":""5.23027032757745847""}",,,," Metrix internationaal congres",,,,,,,,,"event",,,"2022-10-07","21:00",,,
,,"",,"2022-05-12","19:00",,"",,,,"",,,"","","","Privé event Campanille hotel",,"","",,"","Privé event Campanille hotel",,,"event",,"1202","2022-05-12","09:00",,,"true"
,,,,,,,,"6voPCzDBrxUlURUZlNRh",,"horeca","11",,"{""cluster"":""11"",""locatie"":""11"",""lon"":""52.35995196283624153"",""lat"":""5.22471982216052577""}",,,,"The Happy Few",,,"Private dining en banqueting - cateraar Compass Group",,,,,,"locatie",,,,,"[""Eten & Drinken""]",,
,"00:30","https://floriade.com/nl/op-de-expo/nederlandse-tuinbouw/boot-dart/","hortus-avenue",,,,,"E7fdySCuy61xxPy9JE7E","boot-dart-1642429785078","nationaal","127",,"{""cluster"":""127"",""locatie"":""127"",""lon"":""52.35520737571381744"",""lat"":""5.22819860828833072""}","info","Boot & Dart Group en Partners","Boot & Dart Group en Partners","Boot & Dart Group en Partners",,"Growing Green in our Cities. A green city is a functional, attractive and livable city.
We give you an inside look above and below the ground to see how our green solutions can help our cities grow greener.","Growing Green in our Cities. Een groene stad is een functionele, aantrekkelijke en leefbare stad. Wij tonen je een beeld van het groen onder- en bovengronds, en onze oplossingen om elke stad te veranderen in een groene en fijne leefomgeving.  ",,,,,,"locatie","[{""created"":""Wed Mar 09 2022 13:27:15 GMT+0100 (CET)"",""sdgType_select"":""sdg-11""}]",,,,"[""Tuin"",""Cultural discovery"",""Buitententoonstelling""]","[{""themaFloriade_select"":""greening"",""themaFloriadeRating"":5},{""themaFloriade_select"":""healthying"",""themaFloriadeRating"":4}]",
,"01:00",,"urban-district",,,,,"4EqP35D9oj9hOgPps8Cu",,"horeca",,,,,"The Bakery","The Bakery","The Bakery",,,"Counter verkoop, broodjes, banket
- cateraar Robert van Beckhoven
",,,,,,"locatie",,,,,"[""Eten & Drinken""]",,
